phase,input_pulse,input_sd,output_pulse,output_sd,midpoint_pulse,midpoint_sd,gradient_pulse,gradient_sd
0.0000,-1.91633,7.02439,-0.35438,0.81190,-0.08900,1.19954,-2.21621,7.31398
0.0042,-1.91863,7.06406,-0.35660,0.80824,-0.08909,1.19345,-2.19395,7.31363
0.0083,-1.91527,7.13327,-0.35782,0.80967,-0.08703,1.18378,-2.16583,7.38982
0.0125,-1.90799,7.21104,-0.35796,0.81300,-0.08317,1.17363,-2.13464,7.46509
0.0167,-1.89311,7.23870,-0.35712,0.81300,-0.07870,1.17160,-2.09748,7.54563
0.0208,-1.86952,7.21688,-0.35587,0.81086,-0.07398,1.16677,-2.05385,7.59926
0.0250,-1.83498,7.17194,-0.35451,0.81255,-0.06975,1.16324,-2.00254,7.63068
0.0292,-1.79099,7.16229,-0.35341,0.81440,-0.06659,1.16365,-1.94423,7.59444
0.0333,-1.74067,7.18772,-0.35267,0.81927,-0.06480,1.16311,-1.87973,7.56107
0.0375,-1.68584,7.26614,-0.35227,0.82134,-0.06420,1.16141,-1.81372,7.51833
0.0417,-1.62674,7.37480,-0.35185,0.81857,-0.06453,1.16346,-1.74550,7.49513
0.0458,-1.56937,7.52665,-0.35129,0.82670,-0.06550,1.17256,-1.67461,7.47754
0.0500,-1.51811,7.60568,-0.35078,0.84657,-0.06703,1.18375,-1.60474,7.45072
0.0542,-1.47398,7.69792,-0.35095,0.83903,-0.06890,1.18975,-1.53639,7.43497
0.0583,-1.44185,7.71714,-0.35134,0.84173,-0.07098,1.18917,-1.46564,7.49353
0.0625,-1.42087,7.68220,-0.35169,0.85376,-0.07301,1.18430,-1.39695,7.47833
0.0667,-1.41092,7.62292,-0.35219,0.86280,-0.07507,1.17061,-1.32878,7.37924
0.0708,-1.41109,7.54543,-0.35290,0.86395,-0.07660,1.15361,-1.26433,7.25582
0.0750,-1.41620,7.49295,-0.35393,0.86257,-0.07728,1.14870,-1.20394,7.18021
0.0792,-1.42319,7.44305,-0.35505,0.85550,-0.07742,1.16367,-1.14516,7.14310
0.0833,-1.42858,7.40758,-0.35628,0.85256,-0.07735,1.14916,-1.08288,7.16981
0.0875,-1.42957,7.39958,-0.35732,0.84820,-0.07653,1.15402,-1.01028,7.23385
0.0917,-1.42623,7.39060,-0.35768,0.83947,-0.07517,1.16895,-0.92356,7.41819
0.0958,-1.41856,7.35605,-0.35721,0.83091,-0.07268,1.17909,-0.82296,7.34287
0.1000,-1.40516,7.28798,-0.35581,0.82289,-0.06864,1.17770,-0.71028,7.39132
0.1042,-1.38410,7.16122,-0.35346,0.81611,-0.06273,1.17217,-0.59150,7.35861
0.1083,-1.34901,7.04348,-0.35046,0.81379,-0.05447,1.16135,-0.47024,7.26871
0.1125,-1.29560,7.05981,-0.34710,0.80963,-0.04404,1.14932,-0.34885,7.17094
0.1167,-1.22156,6.91907,-0.34328,0.80620,-0.03213,1.13910,-0.23100,7.11374
0.1208,-1.12838,6.94431,-0.33898,0.80759,-0.01955,1.13357,-0.11577,7.10239
0.1250,-1.01959,6.94731,-0.33388,0.80647,-0.00691,1.13212,-0.00494,7.12136
0.1292,-0.89504,6.96528,-0.32814,0.80462,0.00513,1.13359,0.09932,7.11565
0.1333,-0.75699,6.99205,-0.32175,0.80011,0.01572,1.13926,0.19877,7.12633
0.1375,-0.60651,7.05122,-0.31497,0.80005,0.02460,1.14931,0.29263,7.14973
0.1417,-0.44351,7.09640,-0.30755,0.80397,0.03156,1.15796,0.38333,7.19545
0.1458,-0.27609,7.10696,-0.29939,0.80893,0.03664,1.16388,0.47036,7.25630
0.1500,-0.11041,7.09748,-0.29080,0.81751,0.03991,1.16993,0.55306,7.29330
0.1542,0.04850,7.08075,-0.28158,0.82238,0.04171,1.16875,0.63540,7.34252
0.1583,0.19637,7.07244,-0.27183,0.83170,0.04213,1.16879,0.71515,7.38707
0.1625,0.33354,7.09606,-0.26164,0.84043,0.04192,1.17011,0.79089,7.39158
0.1667,0.46078,7.14915,-0.25133,0.84749,0.04169,1.16935,0.86055,7.40358
0.1708,0.57942,7.22338,-0.24151,0.84883,0.04217,1.16573,0.91970,7.40873
0.1750,0.69635,7.29653,-0.23235,0.84936,0.04378,1.16137,0.96468,7.49786
0.1792,0.81395,7.35043,-0.22402,0.85390,0.04689,1.15994,0.99574,7.38040
0.1833,0.92872,7.38537,-0.21680,0.85729,0.05123,1.15711,1.01462,7.34555
0.1875,1.03770,7.43713,-0.21099,0.85004,0.05683,1.15831,1.02448,7.26225
0.1917,1.13752,7.39512,-0.20677,0.84351,0.06367,1.16090,1.02691,7.22112
0.1958,1.22718,7.41986,-0.20436,0.83455,0.07094,1.16517,1.02883,7.07811
0.2000,1.30584,7.29856,-0.20351,0.82708,0.07797,1.17065,1.03102,7.01151
0.2042,1.37392,7.29984,-0.20423,0.82314,0.08469,1.17789,1.03616,6.98171
0.2083,1.42979,7.27519,-0.20610,0.81633,0.09091,1.18156,1.04672,6.98813
0.2125,1.47219,7.25670,-0.20917,0.80642,0.09673,1.18535,1.06194,6.99714
0.2167,1.50448,7.22517,-0.21268,0.80827,0.10185,1.19340,1.08304,7.00200
0.2208,1.52458,7.19703,-0.21571,0.80213,0.10602,1.20094,1.11287,6.98501
0.2250,1.53772,7.17026,-0.21769,0.80717,0.10879,1.20233,1.15000,7.05342
0.2292,1.54609,7.15847,-0.21796,0.81210,0.11021,1.20096,1.19892,6.99290
0.2333,1.55151,7.05752,-0.21643,0.81704,0.11064,1.20141,1.26058,7.03607
0.2375,1.55309,7.01569,-0.21334,0.81976,0.11038,1.19893,1.33665,7.09619
0.2417,1.55646,6.98955,-0.20868,0.82299,0.10930,1.19864,1.42887,7.18722
0.2458,1.56765,6.97498,-0.20270,0.82847,0.10854,1.20982,1.53881,7.27440
0.2500,1.58935,6.94643,-0.19577,0.83349,0.10882,1.19103,1.66710,7.35861
0.2542,1.62563,6.95994,-0.18806,0.83523,0.11074,1.18728,1.81203,7.39377
0.2583,1.68082,6.97240,-0.17958,0.83673,0.11458,1.18606,1.97169,7.42652
0.2625,1.75884,7.07910,-0.17065,0.83167,0.12022,1.18508,2.14221,7.43920
0.2667,1.85872,7.22665,-0.16124,0.82472,0.12744,1.18786,2.31750,7.49454
