index,time_s,tissue_motion_px_per_frame,detrended,pulsatility_wave,is_pulse_peak
0,0.01665,0.070039,-0.071706,-0.001606,0
1,0.04995,0.053877,-0.087668,-0.021878,0
2,0.08326,0.052871,-0.088489,-0.034747,0
3,0.11656,0.055745,-0.085559,-0.035545,0
4,0.14986,0.148891,0.007804,-0.023428,0
5,0.18316,0.090946,-0.048942,-0.001394,0
6,0.21647,0.224229,0.087101,0.024822,0
7,0.24977,0.173173,0.035494,0.048469,0
8,0.28307,0.136336,-0.002561,0.063483,0
9,0.31637,0.288204,0.148861,0.065675,1
10,0.34968,0.203579,0.061602,0.053723,0
11,0.38298,0.213261,0.070282,0.029973,0
12,0.41628,0.076354,-0.066616,-0.000093,0
13,0.44958,0.073674,-0.070099,-0.029928,0
14,0.48289,0.085169,-0.058587,-0.054226,0
15,0.51619,0.074941,-0.068671,-0.069982,0
16,0.54949,0.075735,-0.067971,-0.076121,0
17,0.58280,0.069773,-0.073723,-0.072599,0
18,0.61610,0.078544,-0.064920,-0.059768,0
19,0.64940,0.117221,-0.026129,-0.038271,0
20,0.68270,0.076612,-0.065239,-0.009454,0
21,0.71601,0.196139,0.057399,0.023942,0
22,0.74931,0.162042,0.023650,0.057381,0
23,0.78261,0.108367,-0.030926,0.084735,0
24,0.81591,0.282225,0.143210,0.099041,1
25,0.84922,0.393585,0.253045,0.094632,0
26,0.88252,0.281253,0.139729,0.070561,0
27,0.91582,0.102523,-0.039510,0.032344,0
28,0.94912,0.074161,-0.068205,-0.010313,0
29,0.98243,0.092986,-0.049559,-0.047916,0
30,1.01573,0.075947,-0.066614,-0.074245,0
31,1.04903,0.097616,-0.044951,-0.086942,0
32,1.08233,0.096792,-0.045669,-0.086471,0
33,1.11564,0.089190,-0.053255,-0.074590,0
34,1.14894,0.120945,-0.021742,-0.053251,0
35,1.18224,0.103329,-0.038442,-0.024371,0
36,1.21554,0.170350,0.029839,0.009649,0
37,1.24885,0.145917,0.006289,0.045149,0
38,1.28215,0.133597,-0.006315,0.076659,0
39,1.31545,0.213755,0.074364,0.097074,0
40,1.34875,0.419124,0.279107,0.099505,1
41,1.38206,0.272837,0.131270,0.080874,0
42,1.41536,0.124629,-0.018116,0.044516,0
43,1.44866,0.097906,-0.045022,-0.000982,0
44,1.48196,0.096646,-0.046577,-0.045435,0
45,1.51527,0.093417,-0.050444,-0.080124,0
46,1.54857,0.075143,-0.068647,-0.099199,0
47,1.58187,0.079821,-0.064172,-0.100039,0
48,1.61518,0.092825,-0.051363,-0.083151,0
49,1.64848,0.104805,-0.039643,-0.051815,0
50,1.68178,0.163719,0.019686,-0.011557,0
51,1.71508,0.168016,0.023679,0.030610,0
52,1.74839,0.263933,0.120443,0.067227,0
53,1.78169,0.244406,0.101023,0.091704,0
54,1.81499,0.186436,0.042795,0.099523,1
55,1.84829,0.410181,0.267391,0.089055,0
56,1.88160,0.194395,0.049272,0.062376,0
57,1.91490,0.120174,-0.025623,0.025312,0
58,1.94820,0.162312,0.015884,-0.014407,0
59,1.98150,0.095153,-0.052004,-0.049563,0
60,2.01481,0.084573,-0.062749,-0.074742,0
61,2.04811,0.084442,-0.062941,-0.086749,0
62,2.08141,0.073873,-0.073348,-0.084592,0
63,2.11471,0.071294,-0.076023,-0.069198,0
64,2.14802,0.092145,-0.055050,-0.043190,0
