index,time_s,wave[full field],wave[vessels],wave[top-edge],wave[lower-right],motion[full field],motion[vessels],motion[top-edge],motion[lower-right]
0,0.01665,-0.001606,-0.003209,-0.002619,-0.003164,0.070039,0.087108,0.067302,0.094301
1,0.04995,-0.021878,-0.086561,-0.003622,-0.023970,0.053877,0.083954,0.049938,0.043469
2,0.08326,-0.034747,-0.136695,-0.004579,-0.038292,0.052871,0.071679,0.044885,0.045462
3,0.11656,-0.035545,-0.132079,-0.005470,-0.042385,0.055745,0.140024,0.038806,0.048165
4,0.14986,-0.023428,-0.068467,-0.006278,-0.035734,0.148891,0.672388,0.052235,0.085218
5,0.18316,-0.001394,0.040699,-0.006989,-0.020713,0.090946,0.277356,0.053877,0.090470
6,0.21647,0.024822,0.168615,-0.007591,-0.001372,0.224229,0.971218,0.059106,0.127774
7,0.24977,0.048469,0.282031,-0.008078,0.017951,0.173173,0.753361,0.048594,0.108970
8,0.28307,0.063483,0.349203,-0.008442,0.033548,0.136336,0.553935,0.069969,0.070386
9,0.31637,0.065675,0.346860,-0.008680,0.042586,0.288204,1.376424,0.070219,0.144644
10,0.34968,0.053723,0.267278,-0.008791,0.043335,0.203579,0.972509,0.049923,0.174515
11,0.38298,0.029973,0.123939,-0.008773,0.035879,0.213261,0.777506,0.039316,0.190306
12,0.41628,-0.000093,-0.051369,-0.008630,0.022484,0.076354,0.147039,0.049846,0.073152
13,0.44958,-0.029928,-0.220777,-0.008367,0.006655,0.073674,0.141046,0.045186,0.069610
14,0.48289,-0.054226,-0.353160,-0.007990,-0.008664,0.085169,0.229973,0.061585,0.052521
15,0.51619,-0.069982,-0.429798,-0.007511,-0.022187,0.074941,0.118937,0.047842,0.083565
16,0.54949,-0.076121,-0.443173,-0.006942,-0.033909,0.075735,0.093981,0.063583,0.085604
17,0.58280,-0.072599,-0.393807,-0.006294,-0.043797,0.069773,0.115863,0.050885,0.069539
18,0.61610,-0.059768,-0.288083,-0.005582,-0.050664,0.078544,0.150228,0.063579,0.075933
19,0.64940,-0.038271,-0.137297,-0.004820,-0.051952,0.117221,0.508926,0.051526,0.066547
20,0.68270,-0.009454,0.042253,-0.004021,-0.044573,0.076612,0.193069,0.050548,0.049121
21,0.71601,0.023942,0.228246,-0.003199,-0.026557,0.196139,0.878698,0.067909,0.072194
22,0.74931,0.057381,0.392446,-0.002368,0.001246,0.162042,0.696750,0.071966,0.085182
